,Description,IncidentNum,Location,Agency,Date
177,THEFT/LARCENY,PD210403104688,7700 BLOCK SW 40TH ST,Miami-Dade Police,20210403175701
178,MOTOR VEHICLE THEFT,PD210403104631,700 BLOCK NW 95TH TER,Miami-Dade Police,20210403174801
179,ASSAULT,PD210403104612,7700 BLOCK NW 27TH AVE,Miami-Dade Police,20210403174501
180,VEHICLE BREAK-IN/THEFT,PD210403104668,8200 BLOCK W FLAGLER ST,Miami-Dade Police,20210403174001
181,SIMPLE BATTERY,2104030020907,2500 BLOCK NW 16TH STREET RD,Miami Police,20210403173401
182,SIMPLE ASSAULT,2104030020898,400 BLOCK NW 37TH AV,Miami Police,20210403172301
183,BURGLARY - OTHER STRUCTURE,2104030020915,500 BLOCK NW 36TH ST,Miami Police,20210403171601
184,DISCHARGE FIREARM IN PUBLIC,2104030020899,NW 58TH ST / NW 5TH AV,Miami Police,20210403170401
185,THEFT/LARCENY,PD210405106963,8800 BLOCK SW 147TH AVE,Miami-Dade Police,20210403170001
186,THEFT/LARCENY,PD210404105744,6700 BLOCK SW 39TH TER,Miami-Dade Police,20210403170001
187,FRAUD,PD210504140061,7900 BLOCK NW 22ND AVE,Miami-Dade Police,20210403165701
188,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,21001893,1200 BLOCK DICKINSON DR,Coral Gables Police,20210403164601
189,ARSON,PD210403104556,1100 BLOCK NW 126TH AVE,Miami-Dade Police,20210403164401
190,THEFT OTHER,210403006402,10700 BLOCK NW 83RD ST,Doral Police,20210403162701
